year_ref,global_temperature,sea_level,carbon_emissions_per_capita,AvgTemp
1985,8.658,5.74803149,142.8887667,18.69913086
1986,8.833583333,5.771653537,144.3383122,18.80115186
1987,8.994416667,5.795275585,145.8677426,19.05104477
1988,9.201583333,5.980314955,147.509652,19.11167872
1989,8.922,6.157480309,149.118609,19.05676687
1990,9.234166667,6.232283458,150.7349673,19.3176863
1991,9.179416667,6.334645663,152.5592617,19.01135985
1992,8.836583333,6.35826771,154.2121052,18.97200723
1993,8.866583333,6.291338576,155.8693533,18.93079959
1994,9.03875,6.499999993,157.5095014,19.25170179
1995,9.347083333,6.618110229,159.2907511,19.26706956
1996,9.038916667,6.787401568,161.204707,18.95837466
1997,9.202583333,7.066929127,163.0808692,19.2503509
1998,9.522666667,6.665354324,164.9179587,19.59678306
1999,9.285083333,7.011811016,166.5501625,19.39209952
2000,9.201166667,7.062992119,169.28478,19.34920213
2001,9.414583333,7.287401567,170.346072,19.42530338
2002,9.570416667,7.381889756,172.9671899,19.56552342
2003,9.525583333,7.759842512,173.9488794,19.52508678
2004,9.324583333,7.740157472,176.4389224,19.42209194
2005,9.700916667,7.74409448,178.8469318,19.49959022
2006,9.5325,7.917322827,181.172608,19.53913499
2007,9.732166667,7.996062984,183.4192951,19.61039428
2008,9.43175,8.350393692,185.5919194,19.42396178
2009,9.50525,8.586614164,187.6973252,19.54638533
2010,9.703083333,8.901574794,191.1792042,19.62980613
2011,9.516,8.96456692,193.1490514,19.45604029
2012,9.507333333,9.326771644,196.4683947,19.46874415
2013,9.6065,8.980314951,198.319637,19.51952054
